id,Segment,duration_months,credit_amount,installment_rate,present_residence_since,age_years,number_existing_credits,checking_status,credit_history,purpose,savings_account,present_employment_since,debtors_guarantors,property,installment_plans,housing,job,number_people_liable,telephone,foreign_worker,gender,label,score
0,4,6,1169,4,4,24,2,A11,A34,A43,A65,A75,A101,A121,A143,A152,A173,1,A192,A201,male,0,0
1,5,23,5951,2,2,72,1,A12,A32,A43,A61,A73,A101,A121,A143,A152,A173,1,A192,A201,female,1,0
2,6,12,2096,2,3,36,1,A14,A34,A46,A61,A74,A101,A121,A143,A152,A172,2,A192,A201,female,0,0
3,4,42,7882,2,4,12,1,A11,A32,A42,A61,A74,A103,A122,A143,A153,A173,2,A192,A201,female,0,0
4,4,24,4870,2,4,28,1,A11,A33,A40,A61,A73,A103,A124,A143,A153,A173,2,A192,A201,female,1,1
5,4,36,9055,2,4,24,1,A14,A32,A46,A65,A73,A103,A124,A143,A153,A173,2,A192,A201,female,0,0
6,3,36,2835,2,4,72,1,A14,A32,A42,A63,A73,A103,A124,A143,A152,A173,2,A192,A201,female,0,0
7,1,36,6948,2,2,36,1,A12,A32,A41,A61,A73,A103,A124,A143,A151,A173,2,A192,A201,female,0,0
8,5,36,3059,2,4,12,1,A14,A32,A43,A64,A73,A103,A124,A143,A151,A173,2,A191,A201,male,0,0
9,2,36,5234,2,2,28,1,A12,A34,A40,A61,A73,A103,A124,A143,A151,A173,2,A191,A201,male,1,1
10,3,36,1295,2,2,24,1,A12,A32,A40,A61,A73,A103,A124,A143,A151,A173,2,A191,A201,female,1,1
11,1,36,4308,2,2,72,1,A11,A32,A49,A61,A73,A101,A124,A143,A151,A173,2,A191,A201,female,1,0
12,6,36,1567,2,2,36,1,A12,A32,A49,A61,A73,A101,A124,A143,A151,A173,2,A192,A201,female,0,0
13,6,36,1199,2,2,12,1,A11,A34,A49,A61,A73,A101,A124,A143,A151,A173,2,A191,A201,male,1,1
14,1,36,1403,2,2,28,1,A11,A32,A49,A61,A73,A101,A124,A143,A151,A173,2,A191,A201,female,0,0
15,6,36,1282,2,2,24,1,A11,A32,A49,A62,A73,A101,A124,A143,A151,A173,2,A191,A201,female,1,1
16,1,36,1282,2,2,72,1,A14,A34,A49,A65,A73,A101,A124,A143,A151,A173,2,A191,A201,male,0,0
17,2,36,1282,2,2,36,1,A11,A30,A49,A65,A73,A101,A124,A143,A151,A173,2,A191,A201,male,0,0
18,1,36,1282,2,2,12,1,A12,A32,A49,A61,A75,A101,A124,A143,A151,A174,2,A192,A201,female,1,1
19,3,36,1282,2,2,28,1,A14,A32,A49,A63,A75,A101,A123,A143,A151,A173,2,A192,A201,male,0,0
20,6,36,1282,2,2,22,1,A14,A34,A40,A61,A73,A101,A123,A143,A151,A173,2,A192,A201,male,0,0
21,2,36,1282,2,2,44,1,A11,A34,A43,A63,A73,A101,A121,A143,A151,A173,2,A191,A201,male,0,0
22,1,36,1282,2,2,48,1,A11,A34,A40,A61,A72,A101,A121,A143,A151,A172,2,A191,A202,male,0,0
23,5,36,1282,2,2,23,1,A12,A34,A41,A62,A72,A101,A122,A143,A152,A173,2,A191,A202,male,0,0
24,4,36,1282,2,2,26,1,A14,A34,A42,A65,A73,A101,A123,A143,A152,A173,2,A191,A202,male,0,0
25,2,36,1282,2,2,36,1,A11,A34,A42,A61,A73,A101,A121,A143,A152,A172,2,A192,A202,male,0,0
26,2,6,1282,2,2,39,1,A14,A34,A43,A61,A75,A101,A123,A143,A152,A172,2,A191,A202,male,0,0
27,6,12,1282,2,2,42,1,A13,A34,A43,A64,A73,A101,A121,A143,A151,A173,2,A191,A202,female,0,0
28,6,7,1282,3,2,34,1,A12,A34,A43,A61,A73,A103,A121,A143,A152,A173,1,A191,A202,male,0,1
29,5,60,1282,3,2,63,1,A11,A33,A49,A61,A75,A101,A124,A143,A152,A173,1,A192,A202,male,1,1
30,1,18,1282,3,2,36,1,A12,A32,A49,A64,A72,A101,A121,A141,A152,A173,1,A192,A202,male,0,0
31,3,24,1282,2,2,27,1,A11,A32,A42,A61,A73,A101,A123,A142,A152,A173,1,A191,A201,male,0,0
32,4,12,1282,2,2,30,1,A12,A32,A40,A62,A73,A101,A123,A143,A152,A173,1,A192,A201,male,0,0
33,5,12,1282,4,2,57,1,A14,A34,A49,A65,A75,A101,A124,A143,A151,A172,1,A191,A201,male,0,0
34,1,12,1282,4,2,33,1,A13,A32,A42,A61,A72,A101,A122,A141,A152,A174,1,A192,A201,female,0,0
35,3,45,4746,4,2,53,2,A12,A34,A43,A61,A72,A101,A122,A143,A152,A172,1,A191,A201,male,1,1
36,1,48,6110,1,3,31,1,A14,A34,A46,A61,A73,A101,A124,A141,A153,A173,1,A192,A201,male,0,1
37,6,18,2100,4,2,37,1,A13,A32,A43,A61,A73,A102,A121,A142,A152,A173,1,A191,A201,male,1,1
38,2,10,1225,2,2,37,1,A13,A32,A44,A61,A73,A101,A123,A143,A152,A173,1,A192,A201,male,0,0
39,6,9,458,4,3,24,1,A12,A32,A43,A61,A73,A101,A121,A143,A152,A173,1,A191,A201,male,0,0
40,5,30,2333,4,2,30,1,A14,A32,A43,A63,A75,A101,A123,A141,A152,A174,1,A191,A201,male,0,0
41,5,12,1158,3,1,26,1,A12,A32,A43,A63,A73,A101,A123,A143,A152,A173,1,A192,A201,male,0,0
42,2,18,6204,2,4,44,1,A12,A33,A45,A61,A73,A101,A121,A143,A152,A172,2,A192,A201,male,0,0
43,5,30,6187,1,4,24,2,A11,A34,A41,A62,A74,A101,A123,A143,A151,A173,1,A191,A201,male,0,0
44,3,48,6143,4,4,58,2,A11,A34,A41,A61,A75,A101,A124,A142,A153,A172,1,A191,A201,female,1,1
45,2,11,1393,4,4,35,2,A14,A34,A40,A61,A72,A101,A123,A143,A152,A174,1,A191,A201,female,0,0
46,6,36,2299,4,4,39,1,A14,A32,A43,A63,A75,A101,A123,A143,A152,A173,1,A191,A201,male,0,0
47,2,6,1352,1,2,23,1,A11,A32,A41,A63,A71,A101,A122,A143,A151,A171,1,A192,A201,female,0,0
48,5,11,7228,1,4,39,2,A14,A34,A40,A61,A73,A101,A122,A143,A152,A172,1,A191,A201,male,0,0
49,2,12,2073,4,2,28,1,A14,A32,A43,A62,A73,A102,A121,A143,A152,A173,1,A191,A201,female,0,0
50,2,24,2333,4,2,29,1,A12,A33,A42,A65,A72,A101,A122,A141,A152,A172,1,A191,A201,male,0,0
51,6,27,5965,1,2,30,2,A12,A33,A41,A61,A75,A101,A123,A143,A152,A174,1,A192,A201,male,0,0
52,6,12,1262,3,2,25,1,A14,A32,A43,A61,A73,A101,A123,A143,A152,A173,1,A191,A201,male,0,0
53,4,18,3378,2,1,31,1,A14,A32,A41,A65,A73,A101,A122,A143,A152,A173,1,A192,A201,male,0,0
54,4,36,2225,4,4,57,2,A12,A33,A40,A61,A75,A101,A124,A141,A153,A173,1,A192,A201,male,1,1
55,5,6,783,1,2,26,1,A14,A31,A40,A65,A73,A103,A121,A142,A152,A172,2,A191,A201,male,0,0
56,5,12,6468,2,1,52,1,A12,A32,A43,A65,A71,A101,A124,A143,A152,A174,1,A192,A201,male,1,1
57,6,36,9566,2,2,31,2,A14,A34,A43,A61,A73,A101,A123,A142,A152,A173,1,A191,A201,female,0,0
58,4,18,1961,3,2,23,1,A13,A32,A40,A61,A75,A101,A123,A143,A152,A174,1,A191,A201,female,0,0
59,1,36,423,4,4,23,2,A11,A34,A42,A61,A72,A102,A124,A143,A151,A172,1,A192,A201,female,1,1
60,1,9,1391,2,1,27,1,A12,A32,A49,A61,A73,A101,A121,A141,A152,A173,1,A192,A201,male,0,0
